combo,disc,id,n,dens,diameter,ev1,ev2,spec_gap,mgap,modularity,core,assort,ccoef,glob_eff
degree-betweenness,32,movie_343,59,0.06312098188194039,6,6.289027849612082,5.311921676900988,0.8446331935433607,0.4537037037037037,0.6169410150891632,0.3884579299678256,-0.3357035046724186,0.2968980797636632,0.6961320887960535
degree-closeness,330,movie_343,59,0.06312098188194039,6,6.289027849612082,5.311921676900988,0.8446331935433607,0.4537037037037037,0.6169410150891632,0.3884579299678256,-0.3357035046724186,0.2968980797636632,0.6961320887960535
degree-eigenvector,362,movie_343,59,0.06312098188194039,6,6.289027849612082,5.311921676900988,0.8446331935433607,0.4537037037037037,0.6169410150891632,0.3884579299678256,-0.3357035046724186,0.2968980797636632,0.6961320887960535
betweenness-closeness,41,movie_343,59,0.06312098188194039,6,6.289027849612082,5.311921676900988,0.8446331935433607,0.4537037037037037,0.6169410150891632,0.3884579299678256,-0.3357035046724186,0.2968980797636632,0.6961320887960535
betweenness-eigenvector,155,movie_343,59,0.06312098188194039,6,6.289027849612082,5.311921676900988,0.8446331935433607,0.4537037037037037,0.6169410150891632,0.3884579299678256,-0.3357035046724186,0.2968980797636632,0.6961320887960535
closeness-eigenvector,248,movie_343,59,0.06312098188194039,6,6.289027849612082,5.311921676900988,0.8446331935433607,0.4537037037037037,0.6169410150891632,0.3884579299678256,-0.3357035046724186,0.2968980797636632,0.6961320887960535
degree-betweenness,17,movie_344,49,0.11394557823129252,4,9.408069277853459,5.159942722537798,0.5484592608904649,0.29850746268656714,0.3887558476275339,0.5355412127726263,-0.3331059452878374,0.3328434974283615,0.7982221576212187
degree-closeness,121,movie_344,49,0.11394557823129252,4,9.408069277853459,5.159942722537798,0.5484592608904649,0.29850746268656714,0.3887558476275339,0.5355412127726263,-0.3331059452878374,0.3328434974283615,0.7982221576212187
degree-eigenvector,80,movie_344,49,0.11394557823129252,4,9.408069277853459,5.159942722537798,0.5484592608904649,0.29850746268656714,0.3887558476275339,0.5355412127726263,-0.3331059452878374,0.3328434974283615,0.7982221576212187
betweenness-closeness,50,movie_344,49,0.11394557823129252,4,9.408069277853459,5.159942722537798,0.5484592608904649,0.29850746268656714,0.3887558476275339,0.5355412127726263,-0.3331059452878374,0.3328434974283615,0.7982221576212187
betweenness-eigenvector,66,movie_344,49,0.11394557823129252,4,9.408069277853459,5.159942722537798,0.5484592608904649,0.29850746268656714,0.3887558476275339,0.5355412127726263,-0.3331059452878374,0.3328434974283615,0.7982221576212187
closeness-eigenvector,81,movie_344,49,0.11394557823129252,4,9.408069277853459,5.159942722537798,0.5484592608904649,0.29850746268656714,0.3887558476275339,0.5355412127726263,-0.3331059452878374,0.3328434974283615,0.7982221576212187
degree-betweenness,79,movie_345,40,0.19743589743589743,4,13.251639286744535,4.7930369643465465,0.3616938901393858,0.14935064935064934,0.2638092427053467,0.848878014143063,-0.3664644477576942,0.5420289855072464,0.715812976398148
degree-closeness,28,movie_345,40,0.19743589743589743,4,13.251639286744535,4.7930369643465465,0.3616938901393858,0.14935064935064934,0.2638092427053467,0.848878014143063,-0.3664644477576942,0.5420289855072464,0.715812976398148
degree-eigenvector,19,movie_345,40,0.19743589743589743,4,13.251639286744535,4.7930369643465465,0.3616938901393858,0.14935064935064934,0.2638092427053467,0.848878014143063,-0.3664644477576942,0.5420289855072464,0.715812976398148
