combo,disc,id,n,dens,diameter,ev1,ev2,mgap,param
closeness-eigenvector,331332,6,5000,0.001252650530106021,9,7.437174422563631,5.490654082652652,0.9915681890769722,0.00125
degree-betweenness,35812,6,5000,0.002501140228045609,6,13.57235460547187,7.314895264034113,0.9907863586921748,0.0025
degree-closeness,653713,6,5000,0.002501140228045609,6,13.57235460547187,7.314895264034113,0.9907863586921748,0.0025
degree-eigenvector,679617,6,5000,0.002501140228045609,6,13.57235460547187,7.314895264034113,0.9907863586921748,0.0025
betweenness-closeness,992351,6,5000,0.002501140228045609,6,13.57235460547187,7.314895264034113,0.9907863586921748,0.0025
betweenness-eigenvector,1063110,6,5000,0.002501140228045609,6,13.57235460547187,7.314895264034113,0.9907863586921748,0.0025
closeness-eigenvector,255392,6,5000,0.002501140228045609,6,13.57235460547187,7.314895264034113,0.9907863586921748,0.0025
degree-betweenness,18515,6,5000,0.005019803960792158,4,26.125986790539937,10.149833803685762,0.9868972662787917,0.005
degree-closeness,475740,6,5000,0.005019803960792158,4,26.125986790539937,10.149833803685762,0.9868972662787917,0.005
degree-eigenvector,477650,6,5000,0.005019803960792158,4,26.125986790539937,10.149833803685762,0.9868972662787917,0.005
betweenness-closeness,863279,6,5000,0.005019803960792158,4,26.125986790539937,10.149833803685762,0.9868972662787917,0.005
betweenness-eigenvector,927221,6,5000,0.005019803960792158,4,26.125986790539937,10.149833803685762,0.9868972662787917,0.005
closeness-eigenvector,310719,6,5000,0.005019803960792158,4,26.125986790539937,10.149833803685762,0.9868972662787917,0.005
degree-betweenness,155032,6,5000,0.0012525705141028206,10,7.447522984638063,5.426841730664545,0.9923981091094928,0.00125
degree-closeness,968441,6,5000,0.0012525705141028206,10,7.447522984638063,5.426841730664545,0.9923981091094928,0.00125
degree-eigenvector,1041898,6,5000,0.0012525705141028206,10,7.447522984638063,5.426841730664545,0.9923981091094928,0.00125
betweenness-closeness,1281037,6,5000,0.0012525705141028206,10,7.447522984638063,5.426841730664545,0.9923981091094928,0.00125
betweenness-eigenvector,1381293,6,5000,0.0012525705141028206,10,7.447522984638063,5.426841730664545,0.9923981091094928,0.00125
closeness-eigenvector,311338,6,5000,0.0012525705141028206,10,7.447522984638063,5.426841730664545,0.9923981091094928,0.00125
degree-betweenness,35407,6,5000,0.0024908181636327264,6,13.536037089541205,7.313147173240736,0.9909730476404639,0.0025
